iso639-3,url,iso639-2/iso639-5,iso639-2,iso639-5,iso639-1,name,type,status,member of macro language,member of MARC collective code,iso639-3
aaa,https://iso639-3.sil.org/code/aaa,,,,,Ghotuo,Individual,Living,,nic,aaa
aab,https://iso639-3.sil.org/code/aab,,,,,Alumu-Tesu,Individual,Living,,nic,aab
aac,https://iso639-3.sil.org/code/aac,,,,,Ari,Individual,Living,,paa,aac
aad,https://iso639-3.sil.org/code/aad,,,,,Amal,Individual,Living,,paa,aad
aae,https://iso639-3.sil.org/code/aae,,,,,Arbâreshâ Albanian,Individual,Living,sqi,,aae
aaf,https://iso639-3.sil.org/code/aaf,,,,,Aranadan,Individual,Living,,dra,aaf
aag,https://iso639-3.sil.org/code/aag,,,,,Ambrak,Individual,Living,,paa,aag
aah,https://iso639-3.sil.org/code/aah,,,,,"Abu' Arapesh [Ethnologue: Arapesh, Abu']",Individual,Living,,paa,aah
aai,https://iso639-3.sil.org/code/aai,,,,,Arifama-Miniafia,Individual,Living,,map,aai
aak,https://iso639-3.sil.org/code/aak,,,,,Ankave,Individual,Living,,paa,aak
aal,https://iso639-3.sil.org/code/aal,,,,,Afade,Individual,Living,,afa,aal
aan,https://iso639-3.sil.org/code/aan,,,,,AnambÇ,Individual,Living,,tup,aan
aao,https://iso639-3.sil.org/code/aao,,,,,Algerian Saharan Arabic,Individual,Living,ara,,aao
aap,https://iso639-3.sil.org/code/aap,,,,,Par† Ar†ra,Individual,Living,,sai,aap
aaq,https://iso639-3.sil.org/code/aaq,,,,,Eastern Abnaki,Individual,Extinct,,alg,aaq
aar,https://iso639-3.sil.org/code/aar,aar,aar,,aa,Afar,Individual,Living,,,aar
aas,https://iso639-3.sil.org/code/aas,,,,,Aas†x,Individual,Living,,afa,aas
aat,https://iso639-3.sil.org/code/aat,,,,,Arvanitika Albanian,Individual,Living,sqi,,aat
aau,https://iso639-3.sil.org/code/aau,,,,,Abau,Individual,Living,,paa,aau
,https://iso639-3.sil.org/code/aav,aav,,aav,,Austro-Asiatic languages,Collective,Genetic,,,
aaw,https://iso639-3.sil.org/code/aaw,,,,,Solong,Individual,Living,,map,aaw
aax,https://iso639-3.sil.org/code/aax,,,,,Mandobo Atas,Individual,Living,,paa,aax
aaz,https://iso639-3.sil.org/code/aaz,,,,,Amarasi,Individual,Living,,map,aaz
aba,https://iso639-3.sil.org/code/aba,,,,,AbÇ,Individual,Living,,nic,aba
abb,https://iso639-3.sil.org/code/abb,,,,,Bankon,Individual,Living,,bnt,abb
abc,https://iso639-3.sil.org/code/abc,,,,,Ambala Ayta,Individual,Living,,phi,abc
abd,https://iso639-3.sil.org/code/abd,,,,,Manide,Individual,Living,,phi,abd
abe,https://iso639-3.sil.org/code/abe,,,,,Western Abnaki,Individual,Living,,alg,abe
abf,https://iso639-3.sil.org/code/abf,,,,,Abai Sungai,Individual,Living,,map,abf
abg,https://iso639-3.sil.org/code/abg,,,,,Abaga,Individual,Living,,paa,abg
abh,https://iso639-3.sil.org/code/abh,,,,,Tajiki Arabic,Individual,Living,ara,,abh
abi,https://iso639-3.sil.org/code/abi,,,,,Abidji,Individual,Living,,nic,abi
abj,https://iso639-3.sil.org/code/abj,,,,,Aka-Bea,Individual,Extinct,,und,abj
abk,https://iso639-3.sil.org/code/abk,abk,abk,,ab,Abkhazian,Individual,Living,,,abk
abl,https://iso639-3.sil.org/code/abl,,,,,Lampung Nyo,Individual,Living,,map,abl
abm,https://iso639-3.sil.org/code/abm,,,,,Abanyom,Individual,Living,,nic,abm
abn,https://iso639-3.sil.org/code/abn,,,,,Abua,Individual,Living,,nic,abn
abo,https://iso639-3.sil.org/code/abo,,,,,Abon,Individual,Living,,nic,abo
abp,https://iso639-3.sil.org/code/abp,,,,,Abellen Ayta,Individual,Living,,phi,abp
abq,https://iso639-3.sil.org/code/abq,,,,,Abaza,Individual,Living,,cau,abq
abr,https://iso639-3.sil.org/code/abr,,,,,Abron,Individual,Living,,nic,abr
abs,https://iso639-3.sil.org/code/abs,,,,,Ambonese Malay,Individual,Living,msa,,abs
abt,https://iso639-3.sil.org/code/abt,,,,,Ambulas,Individual,Living,,paa,abt
abu,https://iso639-3.sil.org/code/abu,,,,,Abure,Individual,Living,,nic,abu
abv,https://iso639-3.sil.org/code/abv,,,,,Baharna Arabic,Individual,Living,ara,,abv
abw,https://iso639-3.sil.org/code/abw,,,,,Pal,Individual,Living,,paa,abw
abx,https://iso639-3.sil.org/code/abx,,,,,Inabaknon,Individual,Living,,map,abx
aby,https://iso639-3.sil.org/code/aby,,,,,Aneme Wake,Individual,Living,,paa,aby
abz,https://iso639-3.sil.org/code/abz,,,,,Abui,Individual,Living,,paa,abz
aca,https://iso639-3.sil.org/code/aca,,,,,Achagua,Individual,Living,,sai,aca
acb,https://iso639-3.sil.org/code/acb,,,,,?nc†,Individual,Living,,nic,acb
acd,https://iso639-3.sil.org/code/acd,,,,,Gikyode,Individual,Living,,nic,acd
ace,https://iso639-3.sil.org/code/ace,ace,ace,,,Achinese,Individual,Living,,map,ace
acf,https://iso639-3.sil.org/code/acf,,,,,Saint Lucian Creole French,Individual,Living,,cpf,acf
ach,https://iso639-3.sil.org/code/ach,ach,ach,,,Acoli,Individual,Living,,ssa,ach
aci,https://iso639-3.sil.org/code/aci,,,,,Aka-Cari,Individual,Extinct,,und,aci
ack,https://iso639-3.sil.org/code/ack,,,,,Aka-Kora,Individual,Extinct,,und,ack
acl,https://iso639-3.sil.org/code/acl,,,,,Akar-Bale,Individual,Extinct,,und,acl
acm,https://iso639-3.sil.org/code/acm,,,,,Mesopotamian Arabic,Individual,Living,ara,,acm
acn,https://iso639-3.sil.org/code/acn,,,,,Achang,Individual,Living,,sit,acn
acp,https://iso639-3.sil.org/code/acp,,,,,Eastern Acipa,Individual,Living,,nic,acp
acq,https://iso639-3.sil.org/code/acq,,,,,Ta'izzi-Adeni Arabic,Individual,Living,ara,,acq
acr,https://iso639-3.sil.org/code/acr,,,,,Achi,Individual,Living,,myn,acr
acs,https://iso639-3.sil.org/code/acs,,,,,Acro†,Individual,Extinct,,sai,acs
act,https://iso639-3.sil.org/code/act,,,,,Achterhoeks,Individual,Living,,gem,act
acu,https://iso639-3.sil.org/code/acu,,,,,Achuar-Shiwiar,Individual,Living,,sai,acu
acv,https://iso639-3.sil.org/code/acv,,,,,Achumawi,Individual,Living,,nai,acv
acw,https://iso639-3.sil.org/code/acw,,,,,Hijazi Arabic,Individual,Living,ara,,acw
acx,https://iso639-3.sil.org/code/acx,,,,,Omani Arabic,Individual,Living,ara,,acx
acy,https://iso639-3.sil.org/code/acy,,,,,Cypriot Arabic,Individual,Living,ara,,acy
acz,https://iso639-3.sil.org/code/acz,,,,,Acheron,Individual,Living,,nic,acz
ada,https://iso639-3.sil.org/code/ada,ada,ada,,,Adangme,Individual,Living,,nic,ada
adb,https://iso639-3.sil.org/code/adb,,,,,"Adabe, Atauran",Individual,Living,,map,adb
add,https://iso639-3.sil.org/code/add,,,,,"Dzodinka, Lidzonka",Individual,Living,,nic,add
ade,https://iso639-3.sil.org/code/ade,,,,,Adele,Individual,Living,,nic,ade
adf,https://iso639-3.sil.org/code/adf,,,,,Dhofari Arabic,Individual,Living,ara,,adf
adg,https://iso639-3.sil.org/code/adg,,,,,Andegerebinha,Individual,Living,,aus,adg
adh,https://iso639-3.sil.org/code/adh,,,,,Adhola,Individual,Living,,ssa,adh
adi,https://iso639-3.sil.org/code/adi,,,,,Adi,Individual,Living,,sit,adi
adj,https://iso639-3.sil.org/code/adj,,,,,Adioukrou,Individual,Living,,nic,adj
adl,https://iso639-3.sil.org/code/adl,,,,,Galo,Individual,Living,,sit,adl
adn,https://iso639-3.sil.org/code/adn,,,,,Adang,Individual,Living,,paa,adn
ado,https://iso639-3.sil.org/code/ado,,,,,Abu,Individual,Living,,paa,ado
adq,https://iso639-3.sil.org/code/adq,,,,,Adangbe,Individual,Living,,nic,adq
adr,https://iso639-3.sil.org/code/adr,,,,,Adonara,Individual,Living,,map,adr
ads,https://iso639-3.sil.org/code/ads,,,,,Adamorobe Sign Language,Individual,Living,,sgn,ads
adt,https://iso639-3.sil.org/code/adt,,,,,Adnyamathanha,Individual,Living,,aus,adt
adu,https://iso639-3.sil.org/code/adu,,,,,Aduge,Individual,Living,,nic,adu
adw,https://iso639-3.sil.org/code/adw,,,,,Amundava,Individual,Living,,tup,adw
adx,https://iso639-3.sil.org/code/adx,,,,,Amdo Tibetan,Individual,Living,,sit,adx
ady,https://iso639-3.sil.org/code/ady,ady,ady,,,"Adygei, Adyghe",Individual,Living,,cau,ady
adz,https://iso639-3.sil.org/code/adz,,,,,Adzera,Individual,Living,,map,adz
aea,https://iso639-3.sil.org/code/aea,,,,,Areba,Individual,Extinct,,aus,aea
aeb,https://iso639-3.sil.org/code/aeb,,,,,Tunisian Arabic,Individual,Living,ara,,aeb
aec,https://iso639-3.sil.org/code/aec,,,,,Saidi Arabic,Individual,Living,ara,,aec
aed,https://iso639-3.sil.org/code/aed,,,,,Argentine Sign Language,Individual,Living,,sgn,aed
aee,https://iso639-3.sil.org/code/aee,,,,,"Northeast Pashai, Northeast Pashayi",Individual,Living,,inc,aee
aek,https://iso639-3.sil.org/code/aek,,,,,Haeke,Individual,Living,,map,aek
ael,https://iso639-3.sil.org/code/ael,,,,,Ambele,Individual,Living,,nic,ael
aem,https://iso639-3.sil.org/code/aem,,,,,Arem,Individual,Living,,mkh,aem
aen,https://iso639-3.sil.org/code/aen,,,,,Armenian Sign Language,Individual,Living,,sgn,aen
aeq,https://iso639-3.sil.org/code/aeq,,,,,Aer,Individual,Living,,inc,aeq
aer,https://iso639-3.sil.org/code/aer,,,,,Eastern Arrernte,Individual,Living,,aus,aer
aes,https://iso639-3.sil.org/code/aes,,,,,Alsea,Individual,Extinct,,nai,aes
aeu,https://iso639-3.sil.org/code/aeu,,,,,Akeu,Individual,Living,,sit,aeu
aew,https://iso639-3.sil.org/code/aew,,,,,Ambakich,Individual,Living,,paa,aew
aey,https://iso639-3.sil.org/code/aey,,,,,Amele,Individual,Living,,paa,aey
aez,https://iso639-3.sil.org/code/aez,,,,,Aeka,Individual,Living,,paa,aez
,https://iso639-3.sil.org/code/afa,afa,afa,afa,,Afro-Asiatic languages,Collective,Genetic,,,
afb,https://iso639-3.sil.org/code/afb,,,,,Gulf Arabic,Individual,Living,ara,,afb
afd,https://iso639-3.sil.org/code/afd,,,,,Andai,Individual,Living,,paa,afd
afe,https://iso639-3.sil.org/code/afe,,,,,Putukwam,Individual,Living,,nic,afe
afg,https://iso639-3.sil.org/code/afg,,,,,Afghan Sign Language,Individual,Living,,sgn,afg
afh,https://iso639-3.sil.org/code/afh,afh,afh,,,Afrihili,Individual,Constructed,,,afh
